conmedic,partyid,region,id,age,sex,race,degree
 1, 6, 2, 494,57, 1, 1, 2
 1, 7, 2, 495,44, 2, 1, 1
.i, 5, 2, 496,.i, 1, 1, 1
 2, 1, 2, 497,35, 1, 1, 3
 2, 0, 2, 498,41, 2, 1, 4
.i, 2, 2, 499,42, 1, 1, 1
.i, 3, 2, 500,41, 2, 1, 1
.i, 0, 2, 501,47, 1, 1, 2
 3, 5, 2, 502,34, 2, 1, 1
 2, 1, 2, 503,43, 2, 1, 1
.i, 1, 2, 504,72, 2, 1, 2
 1, 0, 2, 505,46, 2, 1, 4
 2, 6, 2, 506,.i, 1, 1, 0
 2, 0, 2, 507,59, 1, 2, 1
 2, 4, 2, 508,67, 2, 1, 1
 2, 2, 5, 509,32, 1, 3, 0
 2, 5, 5, 510,29, 2, 1, 3
.i, 2, 5, 511,71, 2, 1, 2
 1, 0, 5, 512,64, 1, 1, 2
 2, 4, 5, 513,73, 1, 1, 2
.i, 5, 5, 514,.i, 2, 1, 4
.i, 5, 5, 515,77, 2, 1, 3
.i, 6, 5, 516,70, 2, 1, 4
.i, 0, 5, 517,72, 2, 1, 2
 2, 2, 5, 518,.i, 1, 1, 4
 2, 6, 5, 520,67, 1, 1, 1
.i, 7, 5, 523,36, 1, 1, 0
 2, 3, 5, 524,.n, 1, 1, 1
.i, 5, 5, 525,67, 2, 1, 1
 2, 3, 5, 526,41, 2, 1, 2
 1, 0, 5, 527,51, 1, 1, 4
.i, 1, 5, 528,34, 1, 1, 4
 1, 1, 5, 529,22, 2, 1, 3
.i, 1, 5, 530,21, 1, 1, 1
.i, 0, 5, 531,64, 2, 1, 4
 1, 4, 5, 532,49, 2, 1, 4
 3, 7, 5, 533,67, 1, 1, 3
 2, 0, 5, 534,33, 2, 1, 2
 2, 3, 5, 535,31, 2, 3, 4
 1, 6, 5, 536,74, 2, 1, 1
.i, 2, 5, 537,33, 2, 1, 2
 2, 3, 5, 538,40, 1, 1, 1
 2, 1, 5, 539,62, 2, 1, 1
.i, 4, 5, 540,51, 1, 1, 1
 2, 2, 5, 541,53, 2, 2, 3
 3, 3, 5, 542,33, 2, 2, 1
.i, 0, 5, 543,51, 1, 3, 1
 2, 1, 5, 544,53, 2, 1, 1
 1, 2, 5, 545,46, 1, 2, 2
 2, 5, 5, 546,72, 1, 1, 4
 1, 2, 5, 547,63, 1, 1, 4
 1, 1, 5, 548,70, 2, 1, 2
.i, 3, 5, 549,71, 2, 1, 0
.i, 6, 5, 550,46, 1, 1, 1
 2, 0, 5, 551,36, 2, 1, 3
.i, 4, 5, 552,72, 1, 1, 1
.i, 2, 5, 553,42, 2, 1, 3
 1, 1, 5, 554,76, 1, 1, 4
 1, 1, 5, 555,69, 2, 3, 3
 1, 7, 5, 556,44, 1, 1, 3
 1, 7, 5, 557,43, 2, 1, 4
 3, 1, 5, 558,39, 2, 2, 1
.i, 0, 5, 559,75, 1, 1, 4
 1, 0, 5, 560,89, 2, 1, 1
 2, 1, 5, 561,28, 1, 2, 3
 2, 1, 5, 562,21, 2, 2, 1
 2, 0, 5, 563,56, 2, 2, 2
 2, 0, 5, 564,56, 2, 2, 2
 2, 2, 5, 565,37, 1, 1, 2
 1, 3, 5, 566,34, 2, 1, 1
 2, 1, 5, 567,37, 2, 2, 2
 2, 6, 5, 568,49, 1, 1, 3
 1, 5, 5, 569,81, 1, 1, 3
.s, 0, 5, 571,70, 2, 1, 3
.i, 6, 5, 572,78, 2, 1, 1
 2, 6, 5, 573,74, 2, 1, 1
 2, 3, 5, 574,23, 2,.i, 1
 1, 4, 5, 575,76, 2, 1, 3
 1, 6, 5, 576,79, 1, 1, 1
 1, 2, 5, 577,66, 2, 1, 2
 3, 3, 6, 581,.i, 2, 2, 2
.i, 1, 6, 582,22, 2, 1, 2
 3, 5, 6, 583,54, 1, 1, 1
 2, 6, 6, 584,54, 2, 1, 1
 2, 2, 6, 585,39, 2, 1, 1
.i, 0, 6, 586,38, 1, 1, 3
.i, 3, 6, 587,42, 2, 2, 4
 1, 0, 6, 588,43, 2, 2, 4
 3, 0, 6, 589,37, 2, 2, 1
 1, 4, 6, 590,36, 1, 1, 1
.i, 0, 6, 591,62, 2, 3, 1
 3, 0, 6, 593,60, 2, 2, 1
.s, 0, 6, 594,80, 2, 2, 3
.i, 6, 6, 595,80, 2, 1, 4
 1, 6, 6, 596,71, 1, 1, 3
 2, 6, 6, 598,62, 2, 1, 3
 3, 3, 6, 599,29, 2, 3, 4
 1, 0, 6, 600,50, 2, 1, 4
 2, 3, 6, 601,.n,.n, 1, 0
.i, 5, 6, 602,34, 1, 1, 1
 1, 4, 6, 603,66, 2, 1, 3
 2, 5, 6, 604,52, 2, 1, 0
 2, 3, 6, 605,65, 1, 1, 1
 1, 3, 6, 606,42, 1, 2, 1
.i, 1, 6, 610,53, 2, 2, 2
.i, 1, 6, 611,.i, 2, 1, 3
 1, 0, 3, 612,74, 1, 1, 1
.i, 5, 3, 613,.i, 2, 1, 1
 1, 4, 3, 614,41, 2, 1, 2
.i, 1, 3, 615,28, 2, 1, 2
.d, 6, 3, 616,83, 1, 1, 1
 3, 5, 3, 617,32, 2, 1, 1
.i, 4, 5, 618,41, 2, 1, 2
.i, 5, 5, 619,43, 1, 1, 2
 2, 3, 5, 620,49, 2, 1, 1
 2, 0, 5, 621,76, 2, 1, 1
.i, 1, 5, 622,38, 2, 1, 0
 3, 1, 5, 623,46, 2, 2, 1
 3, 3, 5, 624,.i, 1, 1, 1
 1, 0, 5, 625,48, 2, 1, 3
.i, 3, 2, 626,29, 2, 1, 1
 1, 4, 3, 627,73, 1, 1, 1
 1, 3, 3, 628,35, 2, 1, 1
 2, 5, 3, 629,69, 1, 1, 4
.i, 7, 3, 630,53, 1, 1, 2
 2, 3, 3, 631,.n,.n, 1, 0
.i, 1, 3, 632,53, 2, 1, 1
 3, 0, 3, 633,30, 2, 3, 1
 2, 3, 3, 634,70, 1, 1, 0
 1, 2, 3, 635,52, 2, 1, 1
 1, 3, 3, 636,49, 1, 1, 4
 1, 1, 3, 637,48, 1, 1, 2
 1, 1, 3, 638,69, 1, 1, 1
 1, 0, 3, 639,24, 2, 1, 3
 2, 3, 3, 640,31, 1,.i, 4
.i, 0, 3, 641,49, 1, 1, 4
 2, 1, 3, 642,65, 2, 1, 1
 2, 0, 3, 643,26, 2, 1, 1
 1, 6, 3, 644,77, 1, 1, 1
 2, 3, 3, 645,29, 1, 1, 1
